ID,AMNH160033,AMNH154523,AMNH154517,AMNH154518,AMNH194008,AMNH194013,AMNH155116,AMNH155118,AMNH155119,AMNH157087,AMNH155120,AMNH154515,AMNH108877,AMNH154531,AMNH108871,M60755,M09349,M09309,M07161,M06966,JM20259,JM20237,JM20236,JM18941,JM15131,JM15024,JM07188,U05775,DCM10005,CM15496,CM15495,CM15494,CM07886,CM07288,CM07028,CM07009,CM07001,CM06317,M15158,CM01223,CM01210,CM01035,CM01033,CM01023,CM01022,M22902,M09097,M08615,AMNH183379,AMNH109407,AMNH194015,AMNH65690,AMNH35688,AMNH154521,AMNH196840,AMNH196848,M12410,M08096,M03789,NQG0006,M07943,CM07924,CM07007,CM06316,CM01219,M05044,M09081,M08673,U02261,U00489,U00458,U00306,U00457,M03571,M03502,M03462,M03354,M03291,M03023,J09486,J07038,J06411,J04820,J04578,J04577,J03853,J03611,M06371,M07863,J03544,NQG0004,NQG0003,NQG0002,NQG0001,M63488,M63485,M63372,M63361,M62857,M62855,M49643,M16042,M16041,M15817,M13970,M11214,M10934
X SUR right squamosal 9,-7.917739105,-5.561149597,-0.021312432,11.66115341,14.6172699,0.623137379,-4.118393326,-1.605483246,12.57093124,6.170921326,13.22552795,19.3816864,12.5903183,16.15231628,16.8395462,1.976582718,10.93940887,11.25813522,4.232144928,8.763776398,-4.315151596,1.99251709,21.25171356,0.351955509,21.60238495,-1.991523743,11.45856476,1.998972893,9.185332489,-8.201557159,3.647875595,2.922229767,-8.703251648,6.452281189,5.845023346,-6.833390808,8.400602722,-7.199875641,-7.426831055,5.868363571,-4.513521957,2.952071762,1.68982296,-5.646815109,-5.015505981,4.283725357,11.18079529,0.042943677,10.34974136,6.225337601,10.30658646,7.553029633,11.51634598,12.26358566,13.04217529,-0.690672684,6.103605652,11.13452148,14.40768738,2.623763466,1.071967411,3.367807007,-2.968714333,-5.940851974,1.843520546,14.60923309,10.75674362,0.507174587,1.820552063,-0.403777933,7.951296997,-7.228915405,4.280736542,-10.53897629,-13.60414886,-0.349554873,-4.939771271,-0.056680143,1.44643259,-11.62133255,-10.17438583,-11.5499733,-1.347665501,-13.82481537,-13.4784317,-11.28230133,14.26417847,7.724814606,10.06414566,8.550505066,2.444433022,3.971382523,1.989546776,12.03941116,7.190155792,7.115940094,3.323911285,3.120196915,5.563962936,2.653638077,2.225927162,5.998721313,1.50182457,9.551306915,4.719547653,7.84728241,10.2995575
Y SUR right squamosal 9,-0.608920336,1.26520071,2.176533318,-20.28112946,-21.63514252,1.361286449,2.073600197,-1.214749813,-20.35499573,-27.15205078,-21.54979706,-18.65090485,-20.81296387,-22.65014191,-12.43813477,-38.97118835,-33.07822876,-29.3755249,-33.86796875,-32.28058777,-31.31146545,-5.744105148,-2.006908417,-28.22590637,1.072955799,-27.40504761,-27.34728699,-37.33771057,-24.53832855,-5.124746704,-27.63755493,-24.32283936,-7.782777405,-21.74686127,-26.47205505,-5.969281387,-24.93688965,-5.662426376,-26.26002808,-22.97975311,-4.690721512,-20.93230286,-26.450354,-5.173316574,-6.787963867,-8.030381012,-10.44358902,-10.74875488,-30.78800354,-28.92992554,-32.34419556,-31.01300049,-29.93885803,-30.04327087,-21.5629776,-0.366320992,-28.47846985,-16.55119324,-7.312822723,41.23370056,-26.04167175,-22.7413559,-6.350946426,-4.012897491,-25.48868713,-11.00583878,-15.21010284,-9.743000793,-34.87364807,-35.3614502,-32.17753601,-0.671942616,-34.37116089,-34.84020996,-38.82600708,-33.36327515,-35.49514771,-34.20635986,-5.140624237,-21.74866333,-23.06526337,-27.25808105,-27.89764709,-18.71452637,-17.16313629,-31.8927887,-10.50606232,-9.588835907,-35.13872986,-5.282720184,52.1883728,46.71304932,42.33376465,42.35724487,-29.75522766,-27.81821594,-36.51393127,-30.26117554,-40.84416504,-38.60586548,-36.5464447,-33.49511108,-31.84618225,-49.20993652,-33.94452209,-33.296521,-25.97616882
Z SUR right squamosal 9,-2.861994362,-3.234133148,-4.522463226,10.41826706,11.37345581,-2.997316742,-5.004721069,-0.502024126,12.36194153,21.1221405,13.27088318,10.18008347,11.91760254,12.61495209,-1.118531609,0.630998516,27.62636719,32.37735901,32.9296875,31.8157135,-28.89041443,-18.96365967,-19.05041504,-16.35287781,-21.32722321,-19.00615692,-26.09805603,-11.41634979,-1.872385216,-27.7191864,3.744945908,2.121383095,-23.08740082,1.014967442,1.492285728,-26.36871033,1.413786983,-24.84707642,-9.908646393,1.615990639,-25.01569672,0.390773916,7.600836945,-32.7040802,-27.99773865,-14.30823364,-10.165271,-21.10639343,21.8328125,22.84336548,21.95551453,21.89850464,18.70054321,-6.725052643,9.672419739,-2.980710793,31.60575256,-8.720836639,-13.0611557,16.35110626,2.0109272,2.190859222,-30.67919922,-27.77685852,2.491937256,-14.84633942,-5.597237778,-19.07084045,-8.93920517,-7.990499115,-12.20687866,1.495940495,-8.068725586,-20.94128571,-22.50078735,-16.6910965,-27.1631134,-29.2980957,-30.41499939,-12.75452423,-19.67298431,-24.12263184,-30.71237488,-12.39492874,-17.92105103,-20.43947906,8.409244537,-13.39726715,26.06514893,-18.41207886,13.84446106,20.45490875,15.71691589,20.4628067,-7.480531311,-7.611233521,-3.748590851,-7.293296814,-8.361791229,-1.410839081,-4.68523674,-2.614540863,29.02165222,-9.360480499,36.71659241,40.00222778,23.51247253
X SUR right squamosal 8,-6.298199463,-3.568037033,2.128658485,14.22695313,17.43749542,2.544896507,-2.15386467,0.035610524,14.83697815,8.785485077,15.75491028,22.38518066,15.0818573,19.72644806,17.90686798,3.794273376,11.0378067,12.92644653,6.232711411,10.46627808,-3.963120651,4.173575592,20.34476624,2.240510368,19.78080139,-1.790480232,11.90031509,5.435933685,12.02881393,-10.75926514,7.104634094,5.896076965,-10.94642258,9.272096252,9.467266083,-9.74624176,11.38661346,-10.04158859,-9.874394226,8.856745148,-6.090832138,5.593784714,4.78973465,-9.439139557,-8.087683868,2.660116577,11.98695602,-2.569265938,14.40350342,8.912320709,14.01829987,10.93027115,15.0932663,12.24013443,16.17856293,1.112740421,8.257876587,12.04958191,14.6348114,1.8764431,4.113727188,6.036187744,-6.859223938,-8.707785797,4.728530884,15.88012238,11.43465729,-1.734310913,4.951343155,2.566423607,10.21107254,-6.424049377,7.21102829,-8.674440765,-11.13624878,2.540639496,-2.416962242,-2.780183983,-1.079958248,-13.3400177,-12.57268524,-11.09867477,-1.403502655,-15.71543732,-15.64064331,-11.15243607,15.73002625,8.241106415,11.63141403,7.008492279,2.548504639,3.93795433,1.468258095,11.51732407,9.286834717,9.469787598,5.797013474,5.163367462,8.305073547,5.17766571,4.693723679,8.147727203,4.122521973,12.03457794,7.62453537,10.38023987,10.45398865
Y SUR right squamosal 8,0.811061859,2.800384712,3.647954559,-19.35015106,-20.28846741,2.711767769,3.19944458,-0.451316214,-19.22086945,-25.68548279,-20.53162231,-17.26583252,-19.41858215,-21.37891083,-9.899734497,-37.75816345,-31.27427063,-27.98717651,-32.56651001,-30.8918457,-33.34171143,-6.334967422,0.653013515,-29.48212891,3.165070152,-28.78874512,-28.9938385,-36.42416992,-23.86965637,-4.440732956,-27.41254883,-23.61329346,-6.090705109,-21.04707489,-25.70485535,-5.254084015,-24.5655304,-4.713390732,-26.36547852,-22.60854645,-3.992259979,-20.43352509,-25.76308594,-3.128426743,-5.346414948,-6.286016083,-8.632822418,-9.872312927,-29.28643799,-27.41940613,-30.55562134,-29.57842712,-28.504776,-33.21724548,-20.447995,0.594154549,-27.68514709,-13.64039459,-4.987461853,43.44708557,-25.5438324,-22.21700287,-5.208699036,-3.209135437,-25.2522583,-8.493087006,-12.82323303,-6.798425293,-34.33117065,-34.37408142,-31.2361145,1.161798668,-33.47373962,-36.0209198,-40.73996277,-34.26377258,-37.24058533,-33.07435913,-4.637862778,-22.22440033,-23.89693909,-29.60045471,-30.14050598,-19.27375488,-17.90144348,-33.71047668,-8.797221375,-7.30758667,-33.62682495,-3.557476425,54.65169067,49.32431335,44.78023376,44.74043884,-28.26192627,-26.83710632,-35.54164429,-29.14671021,-39.54258423,-37.38986206,-35.5521637,-32.53098145,-31.24819946,-48.31159363,-32.75015564,-32.6759613,-24.24572296
Z SUR right squamosal 8,-5.373111343,-5.982780075,-6.421754456,10.2578804,11.25799332,-5.432117844,-7.303160858,-2.411982346,12.34375,21.23116913,12.80522919,9.798686218,11.24320908,12.88475189,-2.99264946,-0.569762039,24.74454803,30.52521973,30.88912048,29.40272827,-26.61505737,-20.3195343,-20.21466675,-14.56974945,-22.86498718,-16.79123993,-23.87614441,-12.95381622,-0.752963305,-27.77163086,4.87696991,2.789331245,-22.88279572,1.629691315,3.505321121,-26.31288757,2.73150444,-24.77587433,-12.62693253,2.714327049,-25.01869507,1.284709263,9.270336151,-32.93222351,-28.02713623,-15.47400665,-11.73304596,-22.50139465,21.8636795,23.22505341,22.26061707,21.35589294,19.36570435,-5.264292908,9.961351013,-4.84512825,30.75008545,-10.58144684,-13.97586212,15.23978882,3.035049057,2.86513176,-30.88285522,-27.89518433,3.607558823,-16.61532745,-7.245985413,-20.82566681,-9.965663147,-9.448577118,-13.52391205,-1.489707279,-9.300387573,-19.25593872,-20.98696899,-15.82098083,-26.02028503,-30.49790344,-30.53715515,-10.49276428,-18.07040558,-21.65863953,-28.40032043,-10.42432404,-15.95042114,-17.6877121,6.842221069,-14.8031723,23.56874084,-19.79068451,13.45660706,19.71739655,15.09163055,19.88872986,-8.895236206,-8.734998322,-5.110971832,-8.113746643,-10.40055923,-2.689937973,-6.252404785,-3.564461136,27.7750061,-11.16004105,35.6804718,39.07368164,21.33621063
X SUR right squamosal 7,0.424104881,4.986197281,9.127457428,19.40437012,22.40828094,9.922136688,5.022630692,5.943285751,19.50073395,14.63369141,20.61152344,27.93141785,19.53179169,27.05086975,16.91280212,6.510718536,8.689601898,14.19150238,7.616979218,11.86077042,0.030563667,10.88547516,15.57677002,8.690892792,13.43602142,1.853279305,15.08749084,10.15034866,19.50402679,-17.49434967,15.79781799,12.97996368,-17.48413544,15.92109375,18.09482422,-16.79629059,18.8526947,-16.81799469,-13.45913544,16.19456635,-10.98825531,12.37997894,13.21869049,-18.30703888,-16.23707886,-2.931596565,11.62045441,-9.756196594,22.425383,14.64452515,21.96727295,18.21384888,22.60671844,9.34407959,22.56511841,7.220513153,11.75301895,10.0473381,13.89842834,2.267790794,11.93195953,12.80796204,-16.17920227,-15.52846375,12.46977768,15.23478394,10.61162643,-10.13790665,10.26831741,6.899588013,14.02331848,-1.732164955,11.1542511,-2.023673058,-4.184830856,9.863219452,4.543767548,-9.629309082,-7.526455688,-14.97256165,-15.43868866,-6.871603394,1.511709023,-17.99390411,-18.08302917,-6.843161774,19.04140167,7.229885101,13.45140228,2.550932121,3.588414383,6.647554779,2.340455818,12.37596741,12.02596588,12.76955032,9.640711212,8.320979309,11.60398102,8.597779846,8.115153503,12.52946396,8.545646667,14.62637939,12.19146194,14.88594971,8.545417786
Y SUR right squamosal 7,2.403346062,3.225785828,4.280046844,-16.88349609,-16.83187714,3.568332291,4.199741364,0.361324692,-17.07615814,-22.82500305,-17.53038483,-13.97068024,-15.91343994,-17.5349762,-5.555844498,-33.5223938,-25.79943237,-23.33442383,-27.50546875,-26.14446411,-36.39347534,-7.392321014,4.414830017,-30.15776367,5.657026672,-31.6864624,-31.93729858,-30.57662354,-22.29300079,-5.77771225,-26.06993103,-21.95211945,-5.284621811,-19.47880402,-23.86649628,-6.069993973,-23.07564087,-5.289793777,-22.56808929,-21.44889374,-4.856812286,-19.48481903,-24.16966095,-4.1563694,-6.608441925,-4.621433258,-4.351900864,-10.96384048,-24.59624634,-23.91882629,-25.43513947,-26.25059509,-24.99698639,-37.98848572,-17.43516083,1.203475857,-23.82068176,-8.245774078,-0.812243366,49.87493896,-24.87406464,-21.47639008,-5.812863159,-4.175281906,-24.50995483,-2.933691406,-8.667745972,-3.179248047,-29.65554504,-28.62804871,-26.13684692,2.801761436,-28.14040527,-36.57176819,-41.11999207,-33.38255005,-37.46044922,-29.33188477,-5.696577072,-25.00016937,-26.86980591,-32.53482666,-33.42069092,-21.35402527,-20.58852386,-36.77398376,-6.940567017,-2.873123932,-27.71974487,-2.348915482,60.50108032,55.23162842,50.67574768,50.58198547,-23.12892761,-22.74715576,-30.86483154,-25.28521423,-33.07360535,-32.41143494,-30.80296631,-29.08496399,-26.87301025,-43.19845886,-28.43582764,-29.57388611,-19.1702713
Z SUR right squamosal 7,-9.178553009,-9.505789185,-9.313658142,7.059759521,6.881498718,-8.732771301,-9.866003418,-4.518953323,9.22756424,17.41343231,8.77164917,4.97247467,6.741910553,8.498182678,-9.055446625,-3.928194427,19.6250351,25.97867126,25.80327148,23.74985504,-20.81468964,-20.57690125,-25.25316772,-12.08303375,-27.19403381,-11.88974762,-18.26746063,-17.54528656,-2.474371529,-27.04321899,3.458792496,0.769339991,-20.91231232,-0.192865324,2.284171486,-24.67513885,1.647911263,-23.20020447,-19.82194977,1.77090168,-24.68293762,0.726684904,7.966488647,-29.65120239,-26.08121643,-18.54386902,-16.44626923,-24.36571503,17.3249054,19.0237381,17.16991272,16.5121048,14.62063904,0.767459536,5.906681061,-7.070631409,27.52022705,-17.11888428,-18.4729538,15.1036911,1.550881004,1.099285889,-28.39701843,-26.87790527,2.568885231,-22.19182739,-12.36176224,-23.51743927,-13.90945587,-13.39443054,-17.07110596,-8.670642853,-13.77628021,-17.11380157,-18.53719635,-15.69595337,-24.13829346,-29.82891235,-30.47607117,-4.231846619,-12.01096191,-15.36665649,-22.12398071,-4.347659683,-9.628302002,-11.56068954,1.094578648,-19.61443024,18.38634338,-24.61160889,15.26740723,19.8475647,14.98913879,19.78154755,-13.02262268,-12.32970734,-8.966249084,-11.05254822,-15.26858978,-6.387548065,-10.40565872,-6.420153046,24.15238953,-15.96305847,31.48136292,35.22942505,17.53932953
X SUR right squamosal 6,0.395270467,4.540804291,9.137342834,20.31016846,23.46726227,9.638845825,5.323174667,5.876398468,20.15739594,15.52421112,21.42732239,28.88035889,20.59608002,27.78571167,17.03787994,8.616187286,11.25666504,16.30908356,9.829585266,13.97784729,-1.908206749,11.07676926,13.50350342,8.489310455,11.64787674,0.214473677,12.96247864,14.35303955,20.53167114,-18.47862091,17.39586639,14.31242218,-18.08355103,17.15431824,19.38244476,-17.99902802,20.23758698,-18.34403992,-13.68069153,17.30669403,-11.46239624,13.33578033,14.05620422,-19.80456543,-17.36671753,-3.760765076,11.48991928,-11.77810898,23.44268188,14.57066956,22.23279724,19.28029938,23.30852814,7.558651733,23.77523346,7.807627106,13.87771301,10.67825012,13.62254333,1.920033455,13.44977722,13.95587616,-17.35701294,-16.81631775,13.36380615,15.61365509,10.90730133,-10.78378601,13.12470703,9.723264313,17.01944275,-4.406707764,14.11855621,-1.957584953,-3.684257507,10.760495,4.629312515,-9.519991302,-8.354972076,-17.07002258,-18.49021301,-9.072776031,-0.079262203,-18.94333191,-19.26165466,-8.297399902,18.36061249,7.455123901,16.99015656,1.043634415,4.264462662,6.569150543,2.018735313,12.02213745,14.69724426,14.50704346,12.1972374,10.25430298,14.735289,11.04820023,10.82938156,14.48896484,11.11737442,17.74093323,14.63395691,17.29035797,10.72832718
Y SUR right squamosal 6,1.203615665,1.983216286,3.750529099,-14.68202667,-14.16096191,2.838250923,3.335337448,-0.522775412,-14.72409363,-19.9285202,-15.10932465,-10.60467224,-13.69582977,-14.03963013,-2.781653214,-33.02900696,-23.42106628,-21.98093567,-26.23694763,-24.57106018,-36.36995544,-9.765553284,6.613101959,-30.08816528,7.735696411,-31.1277832,-31.70797119,-30.63086853,-19.87540741,-3.421859741,-23.0765976,-19.87359924,-2.948683929,-17.79624176,-20.56631622,-3.677727127,-19.95349884,-3.429590988,-24.93426361,-18.75521393,-2.908883286,-17.67368164,-20.91606293,-0.863912487,-2.929663849,-2.131833267,-1.598398113,-8.396039581,-20.44892426,-20.33036804,-21.1294632,-22.72464294,-20.82392883,-41.25403442,-14.04868622,0.355143189,-23.4829422,-4.395158386,1.281627464,50.95489502,-22.13063965,-19.39741364,-2.046294403,-2.052470589,-22.37605896,-0.005449869,-6.168066025,0.079016018,-29.49521484,-28.25826111,-25.88858948,3.15331707,-27.62286377,-36.52687683,-41.90963135,-33.14090576,-38.98396606,-27.16198425,-4.079784012,-23.27550201,-24.61782532,-32.42102051,-32.64560547,-19.43724976,-18.7315979,-36.21947021,-4.340749359,-0.082420295,-26.94388733,-0.588245296,61.63797607,56.47156372,51.72982178,51.68847656,-22.30661774,-21.84181213,-30.74679871,-25.0273819,-31.98586731,-31.88751831,-30.33358765,-28.53186035,-26.56152039,-41.86459351,-27.91581421,-28.61457825,-16.9119812
Z SUR right squamosal 6,-12.2467804,-13.57203522,-12.71381149,8.011684418,8.343598938,-11.8716835,-13.49560852,-7.146570587,10.29669952,19.13332367,10.36375198,6.573612213,7.447012329,9.997077179,-9.043752289,-2.997319412,18.65808716,26.3795105,26.40779419,23.82266693,-17.99167023,-21.7478363,-23.08470001,-9.281079102,-25.54600067,-9.435118866,-15.92939453,-15.37906036,0.027784351,-26.01229248,5.611226654,2.13867836,-20.07996216,1.007807732,4.225779724,-23.2378067,4.827582932,-22.14955444,-22.26864624,3.307565689,-23.64193726,1.990075874,9.44070282,-27.33335571,-24.45440216,-17.31015625,-15.30856628,-24.10679626,20.80393066,20.77546387,20.69748383,18.87916412,17.48146362,-0.293713236,7.879988098,-9.999172211,28.88985596,-16.2914856,-17.62498627,12.89125519,3.500969696,2.631558037,-26.9932251,-26.15880737,4.956761551,-20.9702713,-11.70448151,-22.47345581,-11.99053726,-11.86364059,-15.68285217,-11.69898911,-12.29597244,-14.39099274,-15.64669647,-12.91485291,-21.28310242,-32.3612854,-28.47563171,-3.060943794,-10.96980286,-11.90553665,-19.43324432,-3.053658676,-7.927313232,-8.688539124,0.443657064,-18.73491974,19.09896851,-23.99528961,13.46047363,17.75023346,12.93317108,17.68859711,-11.58653793,-11.33668976,-7.190306091,-9.757422638,-13.59285431,-5.058301926,-9.888843536,-4.656541824,25.73491821,-15.37436829,33.40211792,37.17381592,17.49938354
X SUR right squamosal 5,1.81211338,6.05304985,10.2592308,20.98838196,23.86799011,11.17801208,6.663288116,7.17837677,20.71970215,15.98612976,21.93303528,29.28592224,21.01224365,28.56522827,16.11476135,9.107784271,10.81572189,16.14087524,9.911300659,13.65654144,-0.97887907,12.3009819,11.64141541,9.668557739,10.08676834,1.135084343,13.61397095,15.17553101,21.96166382,-19.87082214,18.78543854,15.3875351,-19.36684265,18.28701782,20.9036911,-19.21287689,21.56676636,-19.36228333,-13.46377869,18.37799377,-12.61341782,14.60532074,15.17860718,-20.72518921,-18.52070465,-5.133174133,10.71002502,-13.31469879,24.33219757,14.72362671,23.00116425,19.85738525,23.92021942,6.427600861,24.31693573,8.774881744,14.50858917,9.729947662,12.81321411,2.756309509,14.5939621,15.16777802,-18.66632538,-18.13424835,14.80589905,14.31448517,9.824636078,-12.77309494,13.96300964,10.1363121,17.97311707,-3.657751083,14.5058075,-0.743088388,-2.586856842,11.91921921,5.868486786,-10.00597916,-9.546582794,-17.07349396,-18.59654846,-8.023751831,0.369053006,-18.92749481,-19.218396,-7.302977753,18.44957428,6.588735962,17.31377869,-0.53720274,5.418514252,8.021735382,3.004405212,12.98818359,15.07486115,14.82891693,12.84444275,10.94371796,15.36880188,11.52089462,11.38173828,15.00335083,11.83805008,18.04474182,15.26020813,17.88041534,10.33817825
Y SUR right squamosal 5,0.58757658,1.110265732,2.953076744,-13.42876434,-12.76699982,2.143905067,2.5500103,-1.066599178,-13.56658478,-18.57443085,-13.7899765,-9.190155792,-12.37694473,-12.43736725,-1.944606209,-31.75983887,-21.60659485,-20.47142792,-24.67958984,-22.87726135,-36.05571289,-10.79582214,6.508569336,-29.24950867,7.969583893,-30.84049072,-31.30273438,-28.98494873,-18.21139526,-3.727740479,-21.6907135,-18.89470062,-3.136991882,-16.91029816,-19.84035797,-4.178421402,-18.67598419,-3.75498085,-24.40494385,-17.74366913,-3.180187988,-16.71564178,-19.82483826,-1.275386524,-3.26072464,-1.470532513,-0.666611767,-8.665776825,-18.17665253,-18.86226807,-18.96143799,-20.87937622,-18.91292877,-42.10213928,-12.75728531,-0.451124096,-22.21293793,-2.813269615,2.366413879,52.33458862,-21.31507568,-18.40883179,-2.537740898,-2.466821861,-21.16759033,1.392999935,-5.179981232,0.507145929,-28.11314697,-25.98536072,-23.90016327,2.62784729,-25.59459686,-35.60952759,-40.77359009,-31.83997498,-38.2471405,-25.57632904,-4.587421799,-23.21547546,-24.37003021,-31.98884277,-32.46905823,-19.1859436,-18.50454407,-35.92989502,-3.876945877,1.10735693,-24.79047852,-0.433687019,62.9118103,57.28114014,52.96407471,53.02731934,-20.90027161,-20.39773865,-28.89408569,-23.80630951,-30.39236145,-30.53170471,-29.03898621,-27.13222046,-24.77223969,-40.12897949,-26.19232788,-27.54750671,-15.44668884
Z SUR right squamosal 5,-12.97165833,-14.66940002,-13.50467987,7.189994812,7.111533356,-12.41622772,-14.30638275,-7.779239655,9.458691406,18.17392731,9.23547821,5.614056396,6.426057434,8.913646698,-9.836865234,-2.97165184,18.45307159,25.92131653,25.94078369,23.29777374,-16.42660522,-21.01400757,-23.61184387,-8.173577881,-25.82174072,-7.889563751,-14.34906464,-15.46657104,-1.012100315,-24.91814423,4.841032028,1.29692421,-18.80858765,-0.026420924,3.599497986,-21.96964874,4.389131165,-20.95500336,-24.14479218,2.338926888,-22.61331482,1.325050831,8.519750977,-25.50728149,-22.82069092,-17.2696106,-15.72437439,-23.52074432,19.09146271,19.65782928,19.5995224,17.59480133,16.04272766,0.857313442,6.901053619,-10.38563309,28.73068237,-16.96150208,-18.11367188,12.6224144,2.614888191,1.856487274,-25.45805359,-25.04379883,4.172628403,-21.56949463,-12.5553215,-21.91527863,-12.03712845,-12.05069733,-15.80119019,-13.25084381,-12.50149689,-13.44408112,-14.69983521,-12.38079681,-20.16810913,-32.21775818,-27.68177795,-1.51401968,-9.294741821,-10.3770668,-18.00566864,-1.521069717,-6.519806671,-6.981855011,-1.386042976,-19.09952545,18.96420135,-24.57917786,13.97149811,17.48784485,12.52050018,17.49399719,-11.58646851,-11.47606201,-7.096889496,-9.786519623,-13.49146881,-4.891789627,-9.943228149,-4.710253906,25.7489563,-15.8366745,33.07631531,36.40130615,17.57105713
X SUR right squamosal 4,-4.734443665,-1.520543385,3.807929611,15.5591629,18.75057526,4.333011627,-0.524892044,1.410268211,16.00830994,10.17508392,16.96860504,23.9158493,16.20784454,21.63759918,17.94812317,4.24016304,10.28546829,13.2169342,6.512236023,10.69387589,-2.917230988,5.819893646,19.58509216,3.769067383,18.57349854,-0.866522598,12.90329285,6.502229309,13.80847778,-12.31989288,9.11741333,7.598600006,-12.5566864,10.83552094,11.52007065,-11.40727768,13.20848389,-11.62696915,-10.97564392,10.57307816,-7.157514191,7.168201447,6.713015747,-11.59955902,-10.00758438,1.455657578,12.10261078,-4.125406265,16.38270721,10.33896179,16.12611237,12.63737106,16.83451385,12.15261688,17.72062225,2.57954483,8.986991119,11.88898697,14.59093628,1.912560844,5.900354004,7.57929306,-9.16227951,-10.33715363,6.529697418,15.86383514,11.33235168,-3.648482513,6.132778549,3.495545197,10.83654099,-5.089990234,7.978117371,-7.034436035,-9.445223999,4.267048645,-0.580329943,-4.598424149,-2.614384842,-13.75101471,-13.13184052,-9.948814392,-0.512470818,-16.33338318,-16.13941193,-10.14004898,16.69585114,8.09228363,12.0241806,6.143834305,2.600486374,4.400989151,1.612439537,11.64422607,9.754628754,10.14364929,6.513735962,5.735831833,9.009493256,5.828106689,5.428101349,9.077972412,5.070301819,12.54486465,8.679680634,11.34275436,9.747064209
Y SUR right squamosal 4,1.555006599,3.238164902,4.16467514,-19.09719696,-19.79814301,3.353359222,3.91210556,-0.020229858,-18.96370392,-25.31942749,-20.15419464,-16.92008667,-18.89181366,-21.0423645,-9.029304504,-36.82998047,-30.32862549,-27.1155426,-31.5280365,-30.00088501,-34.29082642,-6.219498825,1.454379177,-29.85599976,3.797578812,-29.59680481,-29.88155518,-35.33654175,-23.84790192,-4.907036209,-27.65466614,-23.53877258,-6.08200531,-20.86086884,-25.29636841,-5.736093521,-24.7669693,-4.957152557,-25.42244873,-22.63437042,-4.360006332,-20.53391876,-25.34200439,-3.653171158,-5.732528305,-6.023242569,-7.875624084,-10.33830795,-28.69825134,-27.0817749,-30.0438324,-29.0925354,-27.99256592,-34.34656372,-20.07463684,1.05873518,-26.85650635,-12.67025299,-4.164310074,44.95928345,-25.83707581,-22.33668365,-5.652323914,-3.569583511,-25.43163757,-7.487374878,-12.02272415,-6.13393631,-33.5462677,-33.25653992,-30.12432861,1.748638344,-32.43788452,-36.37034912,-41.11054077,-34.28887024,-37.32535706,-32.57883911,-4.898674011,-23.06676788,-24.90350342,-30.7678894,-31.22083435,-20.02626648,-18.94943695,-34.78518677,-8.495896149,-6.522305298,-32.54345093,-3.267835617,56.02030029,50.78456421,46.14637451,46.09581909,-27.11091614,-26.04124756,-34.54938049,-28.24555359,-38.24943542,-36.30944519,-34.60784912,-31.85073853,-30.41994019,-47.40466919,-31.90560303,-32.17849731,-23.24852905
Z SUR right squamosal 4,-6.04835701,-6.610165405,-6.813820648,9.478876495,10.22678909,-5.983267212,-7.69230423,-2.745535278,11.63374329,20.2239212,11.87818298,8.742743683,10.04209442,11.82799606,-4.62662468,-1.598486137,23.36350098,29.33378296,29.49932556,27.90231323,-25.54991302,-20.40623169,-21.66348724,-14.26398315,-24.15602417,-15.81494293,-22.83133545,-14.37784576,-1.136603928,-27.80222778,4.55434761,2.341333771,-22.58735809,1.238848591,3.437890244,-26.23245544,2.607531548,-24.65624847,-14.01874084,2.505967522,-25.1635498,1.158843613,8.83275528,-32.55100708,-27.8799469,-16.42358398,-13.07321167,-23.19796448,20.61352081,21.93817139,20.99930267,20.20204315,18.30012512,-3.674953079,9.085075378,-5.188676834,29.80970764,-12.38009567,-15.2131546,15.48387146,2.694464111,2.399295998,-30.76842346,-27.82303162,3.21084671,-18.19647675,-8.689109039,-21.92087097,-11.19571762,-10.82513962,-14.6563446,-2.963090706,-10.71061554,-19.15430145,-20.62685242,-15.99404297,-26.10376892,-30.22122192,-30.77084045,-9.140472412,-16.86806946,-20.54609833,-27.19486084,-9.160736847,-14.59889374,-16.50384216,5.632221985,-16.09556122,22.10678864,-21.01785278,14.02484131,20.01044922,15.40300293,20.22362518,-10.11014709,-9.837124634,-6.32020874,-9.043873596,-11.80934906,-3.861781693,-7.434523773,-4.443380356,26.76824646,-12.56837463,34.39569092,38.02038879,20.37271729
